date,state,temperature_c,humidity_pct,rainfall_mm
2025-10-02,Johor,27.636158552660245,88.82230726581366,0.0
2025-10-02,Kedah,31.82965127915347,84.19870987189319,25.294805528389517
2025-10-02,Kelantan,27.132740241700837,81.36281979870319,11.426530297947963
2025-10-02,Melaka,26.431517934446017,79.33410635933215,16.536319899343354
2025-10-02,Negeri Sembilan,23.66764381804621,75.84032892090596,0.0
2025-10-02,Pahang,26.835678175109145,81.71201131902879,0.0
2025-10-02,Perak,26.30056632133744,91.88917888574304,0.0
2025-10-02,Perlis,26.131466828557354,81.09539550722354,13.916605217538404
2025-10-02,Pulau Pinang,28.962283169478905,80.52628871896282,22.11445918265394
2025-10-02,Sabah,27.611132751323225,76.14426198895717,19.56705077919051
2025-10-02,Sarawak,25.18156970494362,79.01885986022363,6.377970724907025
2025-10-02,Selangor,31.520952905756253,82.1296480837177,23.63608737101773
2025-10-02,Terengganu,30.804076157069634,82.39943954970981,0.0
2025-10-02,W.P. Kuala Lumpur,25.529354168028146,78.95140271795668,19.15399215337731
2025-10-03,Johor,27.501704726862773,80.48748155819183,8.946685636638122
2025-10-03,Kedah,32.26721343113807,73.48673225853676,21.119180372991288
2025-10-03,Kelantan,28.01996454591446,82.0883110252807,10.209763469059423
2025-10-03,Melaka,27.884761208022347,78.21286959148348,11.816253297508105
2025-10-03,Negeri Sembilan,29.476951625227525,76.89036587319578,14.373391018328867
2025-10-03,Pahang,29.404074128615672,92.37711124018844,0.0
2025-10-03,Perak,28.717630865692573,74.85470775469153,20.074356444133215
2025-10-03,Perlis,28.292827375772948,83.6423817004145,13.943474178828122
2025-10-03,Pulau Pinang,29.23329905632201,85.23051558363277,8.58248113481168
2025-10-03,Sabah,26.445569083603115,79.46858340294891,35.475999598537406
2025-10-03,Sarawak,28.34084550066556,80.68820536757107,0.9542355304818972
2025-10-03,Selangor,29.1955657827103,82.88293498961598,20.764777586081973
2025-10-03,Terengganu,26.346552484670454,75.56854369168207,0.0
2025-10-03,W.P. Kuala Lumpur,29.6783319841195,77.20492581375157,0.0
2025-10-04,Johor,28.533745732918348,74.77537452061084,2.3566099842289168
2025-10-04,Kedah,26.973496423372563,77.33357373910174,0.0
2025-10-04,Kelantan,27.12365100003213,91.83497229482684,10.597476039033197
2025-10-04,Melaka,29.491841100752133,76.80302151847519,0.0
